dataset,algorithm,level,alpha,beta,lambda,p@100
CIFAR-10, SSB_VAE,0.4,10000.0,10000.0,0.003906,0.379837
CIFAR-10, SSB_VAE,0.4,10000.0,10000.0,0.015625,0.36141049999999997
CIFAR-10, SSB_VAE,0.4,10000.0,10000000.0,0.000244,0.608574
CIFAR-10, SSB_VAE,0.4,10000.0,10000000.0,0.003906,0.6789894999999999
CIFAR-10, SSB_VAE,0.4,10000.0,10000000.0,0.015625,0.6535185
CIFAR-10, SSB_VAE,0.5,0.001,1.0,0.000244,0.3582605
CIFAR-10, SSB_VAE,0.5,0.001,1.0,0.003906,0.332374
CIFAR-10, SSB_VAE,0.5,0.001,1.0,0.015625,0.3465475
CIFAR-10, SSB_VAE,0.5,0.001,10000.0,0.000244,0.416837
CIFAR-10, SSB_VAE,0.5,0.001,10000.0,0.003906,0.42039499999999996
CIFAR-10, SSB_VAE,0.5,0.001,10000.0,0.015625,0.446758
CIFAR-10, SSB_VAE,0.5,0.001,10000000.0,0.000244,0.465792
CIFAR-10, SSB_VAE,0.5,0.001,10000000.0,0.003906,0.4200185
CIFAR-10, SSB_VAE,0.5,0.001,10000000.0,0.015625,0.42135500000000004
CIFAR-10, SSB_VAE,0.5,10.0,1.0,0.000244,0.43493950000000003
CIFAR-10, SSB_VAE,0.5,10.0,1.0,0.003906,0.356734
CIFAR-10, SSB_VAE,0.5,10.0,1.0,0.015625,0.4105785
CIFAR-10, SSB_VAE,0.5,10.0,10000.0,0.000244,0.7378975000000001
CIFAR-10, SSB_VAE,0.5,10.0,10000.0,0.003906,0.7246239999999999
CIFAR-10, SSB_VAE,0.5,10.0,10000.0,0.015625,0.6832685000000001
CIFAR-10, SSB_VAE,0.5,10.0,10000000.0,0.000244,0.8735469999999999
CIFAR-10, SSB_VAE,0.5,10.0,10000000.0,0.003906,0.8726525
CIFAR-10, SSB_VAE,0.5,10.0,10000000.0,0.015625,0.8655975
CIFAR-10, SSB_VAE,0.5,10000.0,1.0,0.000244,0.3395945
CIFAR-10, SSB_VAE,0.5,10000.0,1.0,0.003906,0.3437945
CIFAR-10, SSB_VAE,0.5,10000.0,1.0,0.015625,0.3295895
CIFAR-10, SSB_VAE,0.5,10000.0,10000.0,0.000244,0.4181315
CIFAR-10, SSB_VAE,0.5,10000.0,10000.0,0.003906,0.3923605
CIFAR-10, SSB_VAE,0.5,10000.0,10000.0,0.015625,0.326995
CIFAR-10, SSB_VAE,0.5,10000.0,10000000.0,0.000244,0.6827815
CIFAR-10, SSB_VAE,0.5,10000.0,10000000.0,0.003906,0.7228079999999999
CIFAR-10, SSB_VAE,0.5,10000.0,10000000.0,0.015625,0.7404975
CIFAR-10, SSB_VAE,0.6,0.001,1.0,0.000244,0.3580815
CIFAR-10, SSB_VAE,0.6,0.001,1.0,0.003906,0.33618200000000004
CIFAR-10, SSB_VAE,0.6,0.001,1.0,0.015625,0.34907900000000003
CIFAR-10, SSB_VAE,0.6,0.001,10000.0,0.000244,0.438629
CIFAR-10, SSB_VAE,0.6,0.001,10000.0,0.003906,0.422053
CIFAR-10, SSB_VAE,0.6,0.001,10000.0,0.015625,0.45098150000000004
CIFAR-10, SSB_VAE,0.6,0.001,10000000.0,0.000244,0.422526
CIFAR-10, SSB_VAE,0.6,0.001,10000000.0,0.003906,0.4128895
CIFAR-10, SSB_VAE,0.6,0.001,10000000.0,0.015625,0.43074499999999993
CIFAR-10, SSB_VAE,0.6,10.0,1.0,0.000244,0.421613
CIFAR-10, SSB_VAE,0.6,10.0,1.0,0.003906,0.3477
CIFAR-10, SSB_VAE,0.6,10.0,1.0,0.015625,0.3736395
CIFAR-10, SSB_VAE,0.6,10.0,10000.0,0.000244,0.7497659999999999
CIFAR-10, SSB_VAE,0.6,10.0,10000.0,0.003906,0.770147
CIFAR-10, SSB_VAE,0.6,10.0,10000.0,0.015625,0.7631895
CIFAR-10, SSB_VAE,0.6,10.0,10000000.0,0.000244,0.877605
CIFAR-10, SSB_VAE,0.6,10.0,10000000.0,0.003906,0.8751024999999999
CIFAR-10, SSB_VAE,0.6,10.0,10000000.0,0.015625,0.8716975
CIFAR-10, SSB_VAE,0.6,10000.0,1.0,0.000244,0.34556549999999997
CIFAR-10, SSB_VAE,0.6,10000.0,1.0,0.003906,0.36366849999999995
CIFAR-10, SSB_VAE,0.6,10000.0,1.0,0.015625,0.3489765
CIFAR-10, SSB_VAE,0.6,10000.0,10000.0,0.000244,0.43233449999999995
CIFAR-10, SSB_VAE,0.6,10000.0,10000.0,0.003906,0.35492900000000005
CIFAR-10, SSB_VAE,0.6,10000.0,10000.0,0.015625,0.355679
CIFAR-10, SSB_VAE,0.6,10000.0,10000000.0,0.000244,0.7725789999999999
CIFAR-10, SSB_VAE,0.6,10000.0,10000000.0,0.003906,0.765158
CIFAR-10, SSB_VAE,0.6,10000.0,10000000.0,0.015625,0.769542
CIFAR-10, SSB_VAE,0.7,0.001,1.0,0.000244,0.350329
CIFAR-10, SSB_VAE,0.7,0.001,1.0,0.003906,0.336521
CIFAR-10, SSB_VAE,0.7,0.001,1.0,0.015625,0.347618
CIFAR-10, SSB_VAE,0.7,0.001,10000.0,0.000244,0.4166525
CIFAR-10, SSB_VAE,0.7,0.001,10000.0,0.003906,0.429079
CIFAR-10, SSB_VAE,0.7,0.001,10000.0,0.015625,0.4481765
CIFAR-10, SSB_VAE,0.7,0.001,10000000.0,0.000244,0.431684
CIFAR-10, SSB_VAE,0.7,0.001,10000000.0,0.003906,0.4181
CIFAR-10, SSB_VAE,0.7,0.001,10000000.0,0.015625,0.415008
CIFAR-10, SSB_VAE,0.7,10.0,1.0,0.000244,0.41327899999999995
CIFAR-10, SSB_VAE,0.7,10.0,1.0,0.003906,0.349968
CIFAR-10, SSB_VAE,0.7,10.0,1.0,0.015625,0.4094
CIFAR-10, SSB_VAE,0.7,10.0,10000.0,0.000244,0.7577315
CIFAR-10, SSB_VAE,0.7,10.0,10000.0,0.003906,0.7748555
CIFAR-10, SSB_VAE,0.7,10.0,10000.0,0.015625,0.7706470000000001
CIFAR-10, SSB_VAE,0.7,10.0,10000000.0,0.000244,0.8777474999999999
CIFAR-10, SSB_VAE,0.7,10.0,10000000.0,0.003906,0.8807155
CIFAR-10, SSB_VAE,0.7,10.0,10000000.0,0.015625,0.87645
CIFAR-10, SSB_VAE,0.7,10000.0,1.0,0.000244,0.3222
CIFAR-10, SSB_VAE,0.7,10000.0,1.0,0.003906,0.3552185
CIFAR-10, SSB_VAE,0.7,10000.0,1.0,0.015625,0.35650000000000004
CIFAR-10, SSB_VAE,0.7,10000.0,10000.0,0.000244,0.3865475
CIFAR-10, SSB_VAE,0.7,10000.0,10000.0,0.003906,0.374434
CIFAR-10, SSB_VAE,0.7,10000.0,10000.0,0.015625,0.35662099999999997
CIFAR-10, SSB_VAE,0.7,10000.0,10000000.0,0.000244,0.783161
CIFAR-10, SSB_VAE,0.7,10000.0,10000000.0,0.003906,0.764505
CIFAR-10, SSB_VAE,0.7,10000.0,10000000.0,0.015625,0.7580134999999999
CIFAR-10, SSB_VAE,0.8,0.001,1.0,0.000244,0.35555000000000003
CIFAR-10, SSB_VAE,0.8,0.001,1.0,0.003906,0.334884
CIFAR-10, SSB_VAE,0.8,0.001,1.0,0.015625,0.3460815
CIFAR-10, SSB_VAE,0.8,0.001,10000.0,0.000244,0.42866550000000003
CIFAR-10, SSB_VAE,0.8,0.001,10000.0,0.003906,0.4338445
CIFAR-10, SSB_VAE,0.8,0.001,10000.0,0.015625,0.44225800000000004
CIFAR-10, SSB_VAE,0.8,0.001,10000000.0,0.000244,0.417942
CIFAR-10, SSB_VAE,0.8,0.001,10000000.0,0.003906,0.403139
CIFAR-10, SSB_VAE,0.8,0.001,10000000.0,0.015625,0.41578950000000003
CIFAR-10, SSB_VAE,0.8,10.0,1.0,0.000244,0.4151185
CIFAR-10, SSB_VAE,0.8,10.0,1.0,0.003906,0.3755345
CIFAR-10, SSB_VAE,0.8,10.0,1.0,0.015625,0.36046599999999995
CIFAR-10, SSB_VAE,0.8,10.0,10000.0,0.000244,0.7612395000000001
CIFAR-10, SSB_VAE,0.8,10.0,10000.0,0.003906,0.792871
CIFAR-10, SSB_VAE,0.8,10.0,10000.0,0.015625,0.7776555
CIFAR-10, SSB_VAE,0.8,10.0,10000000.0,0.000244,0.8814394999999999
CIFAR-10, SSB_VAE,0.8,10.0,10000000.0,0.003906,0.887058
CIFAR-10, SSB_VAE,0.8,10.0,10000000.0,0.015625,0.8810635
CIFAR-10, SSB_VAE,0.8,10000.0,1.0,0.000244,0.33397350000000003
CIFAR-10, SSB_VAE,0.8,10000.0,1.0,0.003906,0.360208
CIFAR-10, SSB_VAE,0.8,10000.0,1.0,0.015625,0.354992
CIFAR-10, SSB_VAE,0.8,10000.0,10000.0,0.000244,0.39953150000000004
CIFAR-10, SSB_VAE,0.8,10000.0,10000.0,0.003906,0.372089
CIFAR-10, SSB_VAE,0.8,10000.0,10000.0,0.015625,0.30688899999999997
CIFAR-10, SSB_VAE,0.8,10000.0,10000000.0,0.000244,0.7854369999999999
CIFAR-10, SSB_VAE,0.8,10000.0,10000000.0,0.003906,0.7772185
CIFAR-10, SSB_VAE,0.8,10000.0,10000000.0,0.015625,0.7965895000000001
CIFAR-10, SSB_VAE,0.9,0.001,1.0,0.000244,0.34825
CIFAR-10, SSB_VAE,0.9,0.001,1.0,0.003906,0.335621
CIFAR-10, SSB_VAE,0.9,0.001,1.0,0.015625,0.33790549999999997
CIFAR-10, SSB_VAE,0.9,0.001,10000.0,0.000244,0.4151055
CIFAR-10, SSB_VAE,0.9,0.001,10000.0,0.003906,0.43205799999999994
CIFAR-10, SSB_VAE,0.9,0.001,10000.0,0.015625,0.43915
CIFAR-10, SSB_VAE,0.9,0.001,10000000.0,0.000244,0.426237
CIFAR-10, SSB_VAE,0.9,0.001,10000000.0,0.003906,0.4177
CIFAR-10, SSB_VAE,0.9,0.001,10000000.0,0.015625,0.41483400000000004
CIFAR-10, SSB_VAE,0.9,10.0,1.0,0.000244,0.40942399999999995
CIFAR-10, SSB_VAE,0.9,10.0,1.0,0.003906,0.3763925
CIFAR-10, SSB_VAE,0.9,10.0,1.0,0.015625,0.41633149999999997
CIFAR-10, SSB_VAE,0.9,10.0,10000.0,0.000244,0.7797050000000001
CIFAR-10, SSB_VAE,0.9,10.0,10000.0,0.003906,0.801679
CIFAR-10, SSB_VAE,0.9,10.0,10000.0,0.015625,0.783558
CIFAR-10, SSB_VAE,0.9,10.0,10000000.0,0.000244,0.8892895000000001
CIFAR-10, SSB_VAE,0.9,10.0,10000000.0,0.003906,0.8898635
CIFAR-10, SSB_VAE,0.9,10.0,10000000.0,0.015625,0.8851135
CIFAR-10, SSB_VAE,0.9,10000.0,1.0,0.000244,0.3318945
CIFAR-10, SSB_VAE,0.9,10000.0,1.0,0.003906,0.3722135
CIFAR-10, SSB_VAE,0.9,10000.0,1.0,0.015625,0.338879
CIFAR-10, SSB_VAE,0.9,10000.0,10000.0,0.000244,0.405134
CIFAR-10, SSB_VAE,0.9,10000.0,10000.0,0.003906,0.3809185
CIFAR-10, SSB_VAE,0.9,10000.0,10000.0,0.015625,0.32968450000000005
CIFAR-10, SSB_VAE,0.9,10000.0,10000000.0,0.000244,0.7973844999999999
CIFAR-10, SSB_VAE,0.9,10000.0,10000000.0,0.003906,0.7883264999999999
CIFAR-10, SSB_VAE,0.9,10000.0,10000000.0,0.015625,0.8022210000000001
CIFAR-10, SSB_VAE,1.0,0.001,1.0,0.000244,0.35075
CIFAR-10, SSB_VAE,1.0,0.001,1.0,0.003906,0.33669750000000004
CIFAR-10, SSB_VAE,1.0,0.001,1.0,0.015625,0.347453
CIFAR-10, SSB_VAE,1.0,0.001,10000.0,0.000244,0.4114685
CIFAR-10, SSB_VAE,1.0,0.001,10000.0,0.003906,0.42894200000000005
CIFAR-10, SSB_VAE,1.0,0.001,10000.0,0.015625,0.4356945
CIFAR-10, SSB_VAE,1.0,0.001,10000000.0,0.000244,0.439334
CIFAR-10, SSB_VAE,1.0,0.001,10000000.0,0.003906,0.4111315
CIFAR-10, SSB_VAE,1.0,0.001,10000000.0,0.015625,0.42033149999999997
CIFAR-10, SSB_VAE,1.0,10.0,1.0,0.000244,0.4158
CIFAR-10, SSB_VAE,1.0,10.0,1.0,0.003906,0.3533445
CIFAR-10, SSB_VAE,1.0,10.0,1.0,0.015625,0.3609895
CIFAR-10, SSB_VAE,1.0,10.0,10000.0,0.000244,0.7877025
CIFAR-10, SSB_VAE,1.0,10.0,10000.0,0.003906,0.8108445
CIFAR-10, SSB_VAE,1.0,10.0,10000.0,0.015625,0.790505
CIFAR-10, SSB_VAE,1.0,10.0,10000000.0,0.000244,0.896166
CIFAR-10, SSB_VAE,1.0,10.0,10000000.0,0.003906,0.8931815
CIFAR-10, SSB_VAE,1.0,10.0,10000000.0,0.015625,0.8845395
CIFAR-10, SSB_VAE,1.0,10000.0,1.0,0.000244,0.32030000000000003
CIFAR-10, SSB_VAE,1.0,10000.0,1.0,0.003906,0.3780735
CIFAR-10, SSB_VAE,1.0,10000.0,1.0,0.015625,0.335863
CIFAR-10, SSB_VAE,1.0,10000.0,10000.0,0.000244,0.379321
CIFAR-10, SSB_VAE,1.0,10000.0,10000.0,0.003906,0.281558
CIFAR-10, SSB_VAE,1.0,10000.0,10000.0,0.015625,0.360113
CIFAR-10, SSB_VAE,1.0,10000.0,10000000.0,0.000244,0.803095
CIFAR-10, SSB_VAE,1.0,10000.0,10000000.0,0.003906,0.790313
CIFAR-10, SSB_VAE,1.0,10000.0,10000000.0,0.015625,0.8095025
Snippets, SSB_VAE,0.1,0.001,1.0,0.000244,0.162237
Snippets, SSB_VAE,0.1,0.001,1.0,0.003906,0.20301550000000002
Snippets, SSB_VAE,0.1,0.001,1.0,0.015625,0.17481599999999997
Snippets, SSB_VAE,0.1,0.001,10000.0,0.000244,0.398717
Snippets, SSB_VAE,0.1,0.001,10000.0,0.003906,0.3693595
Snippets, SSB_VAE,0.1,0.001,10000.0,0.015625,0.4128095
Snippets, SSB_VAE,0.1,0.001,10000000.0,0.000244,0.3544235
Snippets, SSB_VAE,0.1,0.001,10000000.0,0.003906,0.37701949999999995
Snippets, SSB_VAE,0.1,0.001,10000000.0,0.015625,0.39865100000000003
Snippets, SSB_VAE,0.1,10.0,1.0,0.000244,0.154704
Snippets, SSB_VAE,0.1,10.0,1.0,0.003906,0.150616
Snippets, SSB_VAE,0.1,10.0,1.0,0.015625,0.167456
Snippets, SSB_VAE,0.1,10.0,10000.0,0.000244,0.168965
Snippets, SSB_VAE,0.1,10.0,10000.0,0.003906,0.174921
Snippets, SSB_VAE,0.1,10.0,10000.0,0.015625,0.1819865
Snippets, SSB_VAE,0.1,10.0,10000000.0,0.000244,0.3995085
Snippets, SSB_VAE,0.1,10.0,10000000.0,0.003906,0.4157235
Snippets, SSB_VAE,0.1,10.0,10000000.0,0.015625,0.392976
Snippets, SSB_VAE,0.1,10000.0,1.0,0.000244,0.1508575
Snippets, SSB_VAE,0.1,10000.0,1.0,0.003906,0.165684
Snippets, SSB_VAE,0.1,10000.0,1.0,0.015625,0.15559650000000003
Snippets, SSB_VAE,0.1,10000.0,10000.0,0.000244,0.1566995
Snippets, SSB_VAE,0.1,10000.0,10000.0,0.003906,0.153524
Snippets, SSB_VAE,0.1,10000.0,10000.0,0.015625,0.15212950000000003
Snippets, SSB_VAE,0.1,10000.0,10000000.0,0.000244,0.18619950000000002
Snippets, SSB_VAE,0.1,10000.0,10000000.0,0.003906,0.17036400000000002
Snippets, SSB_VAE,0.1,10000.0,10000000.0,0.015625,0.1740175
Snippets, SSB_VAE,0.2,0.001,1.0,0.000244,0.20529350000000002
Snippets, SSB_VAE,0.2,0.001,1.0,0.003906,0.236921
Snippets, SSB_VAE,0.2,0.001,1.0,0.015625,0.1998355
Snippets, SSB_VAE,0.2,0.001,10000.0,0.000244,0.4750835
Snippets, SSB_VAE,0.2,0.001,10000.0,0.003906,0.4725465
Snippets, SSB_VAE,0.2,0.001,10000.0,0.015625,0.4344845
Snippets, SSB_VAE,0.2,0.001,10000000.0,0.000244,0.46658750000000004
Snippets, SSB_VAE,0.2,0.001,10000000.0,0.003906,0.4699585
Snippets, SSB_VAE,0.2,0.001,10000000.0,0.015625,0.44576550000000004
Snippets, SSB_VAE,0.2,10.0,1.0,0.000244,0.156173
Snippets, SSB_VAE,0.2,10.0,1.0,0.003906,0.156509
Snippets, SSB_VAE,0.2,10.0,1.0,0.015625,0.16238999999999998
Snippets, SSB_VAE,0.2,10.0,10000.0,0.000244,0.224024
Snippets, SSB_VAE,0.2,10.0,10000.0,0.003906,0.221575
Snippets, SSB_VAE,0.2,10.0,10000.0,0.015625,0.21922999999999998
Snippets, SSB_VAE,0.2,10.0,10000000.0,0.000244,0.4538095
Snippets, SSB_VAE,0.2,10.0,10000000.0,0.003906,0.5018795
Snippets, SSB_VAE,0.2,10.0,10000000.0,0.015625,0.492478
Snippets, SSB_VAE,0.2,10000.0,1.0,0.000244,0.1533135
Snippets, SSB_VAE,0.2,10000.0,1.0,0.003906,0.1632085
Snippets, SSB_VAE,0.2,10000.0,1.0,0.015625,0.1567805
Snippets, SSB_VAE,0.2,10000.0,10000.0,0.000244,0.1556885
Snippets, SSB_VAE,0.2,10000.0,10000.0,0.003906,0.1530045
Snippets, SSB_VAE,0.2,10000.0,10000.0,0.015625,0.1533115
Snippets, SSB_VAE,0.2,10000.0,10000000.0,0.000244,0.2335855
Snippets, SSB_VAE,0.2,10000.0,10000000.0,0.003906,0.2313555
Snippets, SSB_VAE,0.2,10000.0,10000000.0,0.015625,0.23874800000000002
Snippets, SSB_VAE,0.3,0.001,1.0,0.000244,0.2688945
Snippets, SSB_VAE,0.3,0.001,1.0,0.003906,0.2889035
Snippets, SSB_VAE,0.3,0.001,1.0,0.015625,0.24730500000000002
Snippets, SSB_VAE,0.3,0.001,10000.0,0.000244,0.502454
Snippets, SSB_VAE,0.3,0.001,10000.0,0.003906,0.4791535
Snippets, SSB_VAE,0.3,0.001,10000.0,0.015625,0.459765
Snippets, SSB_VAE,0.3,0.001,10000000.0,0.000244,0.4656005
Snippets, SSB_VAE,0.3,0.001,10000000.0,0.003906,0.5137985
Snippets, SSB_VAE,0.3,0.001,10000000.0,0.015625,0.4709625
Snippets, SSB_VAE,0.3,10.0,1.0,0.000244,0.15625650000000002
Snippets, SSB_VAE,0.3,10.0,1.0,0.003906,0.1534565
Snippets, SSB_VAE,0.3,10.0,1.0,0.015625,0.164099
Snippets, SSB_VAE,0.3,10.0,10000.0,0.000244,0.291726
Snippets, SSB_VAE,0.3,10.0,10000.0,0.003906,0.293829
Snippets, SSB_VAE,0.3,10.0,10000.0,0.015625,0.2699735
Snippets, SSB_VAE,0.3,10.0,10000000.0,0.000244,0.4975375
Snippets, SSB_VAE,0.3,10.0,10000000.0,0.003906,0.5318685
Snippets, SSB_VAE,0.3,10.0,10000000.0,0.015625,0.507956
Snippets, SSB_VAE,0.3,10000.0,1.0,0.000244,0.158175
Snippets, SSB_VAE,0.3,10000.0,1.0,0.003906,0.1646775
Snippets, SSB_VAE,0.3,10000.0,1.0,0.015625,0.158943
Snippets, SSB_VAE,0.3,10000.0,10000.0,0.000244,0.15556150000000002
Snippets, SSB_VAE,0.3,10000.0,10000.0,0.003906,0.1544055
Snippets, SSB_VAE,0.3,10000.0,10000.0,0.015625,0.15269500000000003
Snippets, SSB_VAE,0.3,10000.0,10000000.0,0.000244,0.257954
Snippets, SSB_VAE,0.3,10000.0,10000000.0,0.003906,0.285557
Snippets, SSB_VAE,0.3,10000.0,10000000.0,0.015625,0.29345849999999996
Snippets, SSB_VAE,0.4,0.001,1.0,0.000244,0.2954955
Snippets, SSB_VAE,0.4,0.001,1.0,0.003906,0.3226115
Snippets, SSB_VAE,0.4,0.001,1.0,0.015625,0.30731600000000003
Snippets, SSB_VAE,0.4,0.001,10000.0,0.000244,0.529647
Snippets, SSB_VAE,0.4,0.001,10000.0,0.003906,0.518594
Snippets, SSB_VAE,0.4,0.001,10000.0,0.015625,0.49803949999999997
Snippets, SSB_VAE,0.4,0.001,10000000.0,0.000244,0.4969515
Snippets, SSB_VAE,0.4,0.001,10000000.0,0.003906,0.513193
Snippets, SSB_VAE,0.4,0.001,10000000.0,0.015625,0.5098815
Snippets, SSB_VAE,0.4,10.0,1.0,0.000244,0.1575135
Snippets, SSB_VAE,0.4,10.0,1.0,0.003906,0.152202
Snippets, SSB_VAE,0.4,10.0,1.0,0.015625,0.162941
Snippets, SSB_VAE,0.4,10.0,10000.0,0.000244,0.36034849999999996
Snippets, SSB_VAE,0.4,10.0,10000.0,0.003906,0.3271315
Snippets, SSB_VAE,0.4,10.0,10000.0,0.015625,0.30881349999999996
Snippets, SSB_VAE,0.4,10.0,10000000.0,0.000244,0.4977255
Snippets, SSB_VAE,0.4,10.0,10000000.0,0.003906,0.520375
Snippets, SSB_VAE,0.4,10.0,10000000.0,0.015625,0.500285
Snippets, SSB_VAE,0.4,10000.0,1.0,0.000244,0.151831
Snippets, SSB_VAE,0.4,10000.0,1.0,0.003906,0.161906
Snippets, SSB_VAE,0.4,10000.0,1.0,0.015625,0.1556755
Snippets, SSB_VAE,0.4,10000.0,10000.0,0.000244,0.15643600000000002
Snippets, SSB_VAE,0.4,10000.0,10000.0,0.003906,0.152737
Snippets, SSB_VAE,0.4,10000.0,10000.0,0.015625,0.156827
Snippets, SSB_VAE,0.4,10000.0,10000000.0,0.000244,0.30818
Snippets, SSB_VAE,0.4,10000.0,10000000.0,0.003906,0.322044
Snippets, SSB_VAE,0.4,10000.0,10000000.0,0.015625,0.337248
Snippets, SSB_VAE,0.5,0.001,1.0,0.000244,0.38090349999999995
Snippets, SSB_VAE,0.5,0.001,1.0,0.003906,0.3575155
Snippets, SSB_VAE,0.5,0.001,1.0,0.015625,0.349169
Snippets, SSB_VAE,0.5,0.001,10000.0,0.000244,0.5453995
Snippets, SSB_VAE,0.5,0.001,10000.0,0.003906,0.48715150000000007
Snippets, SSB_VAE,0.5,0.001,10000.0,0.015625,0.5005725
Snippets, SSB_VAE,0.5,0.001,10000000.0,0.000244,0.49163599999999996
Snippets, SSB_VAE,0.5,0.001,10000000.0,0.003906,0.532224
Snippets, SSB_VAE,0.5,0.001,10000000.0,0.015625,0.47376550000000006
Snippets, SSB_VAE,0.5,10.0,1.0,0.000244,0.160671
Snippets, SSB_VAE,0.5,10.0,1.0,0.003906,0.1521555
Snippets, SSB_VAE,0.5,10.0,1.0,0.015625,0.162776
Snippets, SSB_VAE,0.5,10.0,10000.0,0.000244,0.383399
Snippets, SSB_VAE,0.5,10.0,10000.0,0.003906,0.33992100000000003
Snippets, SSB_VAE,0.5,10.0,10000.0,0.015625,0.35067950000000003
Snippets, SSB_VAE,0.5,10.0,10000000.0,0.000244,0.472989
Snippets, SSB_VAE,0.5,10.0,10000000.0,0.003906,0.4715415
Snippets, SSB_VAE,0.5,10.0,10000000.0,0.015625,0.56114
Snippets, SSB_VAE,0.5,10000.0,1.0,0.000244,0.153204
Snippets, SSB_VAE,0.5,10000.0,1.0,0.003906,0.16757450000000002
Snippets, SSB_VAE,0.5,10000.0,1.0,0.015625,0.1569495
Snippets, SSB_VAE,0.5,10000.0,10000.0,0.000244,0.165024
Snippets, SSB_VAE,0.5,10000.0,10000.0,0.003906,0.154243
Snippets, SSB_VAE,0.5,10000.0,10000.0,0.015625,0.152388
Snippets, SSB_VAE,0.5,10000.0,10000000.0,0.000244,0.35109650000000003
Snippets, SSB_VAE,0.5,10000.0,10000000.0,0.003906,0.34326100000000004
Snippets, SSB_VAE,0.5,10000.0,10000000.0,0.015625,0.379182
Snippets, SSB_VAE,0.6,0.001,1.0,0.000244,0.39248
Snippets, SSB_VAE,0.6,0.001,1.0,0.003906,0.3716385
Snippets, SSB_VAE,0.6,0.001,1.0,0.015625,0.37107650000000003
Snippets, SSB_VAE,0.6,0.001,10000.0,0.000244,0.5366975
Snippets, SSB_VAE,0.6,0.001,10000.0,0.003906,0.5172525
Snippets, SSB_VAE,0.6,0.001,10000.0,0.015625,0.5377784999999999
Snippets, SSB_VAE,0.6,0.001,10000000.0,0.000244,0.4985395
Snippets, SSB_VAE,0.6,0.001,10000000.0,0.003906,0.5514515
Snippets, SSB_VAE,0.6,0.001,10000000.0,0.015625,0.5200265
Snippets, SSB_VAE,0.6,10.0,1.0,0.000244,0.158796
Snippets, SSB_VAE,0.6,10.0,1.0,0.003906,0.15431799999999998
Snippets, SSB_VAE,0.6,10.0,1.0,0.015625,0.1651865
Snippets, SSB_VAE,0.6,10.0,10000.0,0.000244,0.40892550000000005
Snippets, SSB_VAE,0.6,10.0,10000.0,0.003906,0.372945
Snippets, SSB_VAE,0.6,10.0,10000.0,0.015625,0.376478
Snippets, SSB_VAE,0.6,10.0,10000000.0,0.000244,0.5214300000000001
Snippets, SSB_VAE,0.6,10.0,10000000.0,0.003906,0.5445085000000001
Snippets, SSB_VAE,0.6,10.0,10000000.0,0.015625,0.547004
Snippets, SSB_VAE,0.6,10000.0,1.0,0.000244,0.15789899999999998
Snippets, SSB_VAE,0.6,10000.0,1.0,0.003906,0.16271049999999998
Snippets, SSB_VAE,0.6,10000.0,1.0,0.015625,0.1545835
Snippets, SSB_VAE,0.6,10000.0,10000.0,0.000244,0.164318
Snippets, SSB_VAE,0.6,10000.0,10000.0,0.003906,0.1557325
Snippets, SSB_VAE,0.6,10000.0,10000.0,0.015625,0.149625
Snippets, SSB_VAE,0.6,10000.0,10000000.0,0.000244,0.385787
Snippets, SSB_VAE,0.6,10000.0,10000000.0,0.003906,0.3813025
Snippets, SSB_VAE,0.6,10000.0,10000000.0,0.015625,0.4025615
Snippets, SSB_VAE,0.7,0.001,1.0,0.000244,0.42185100000000003
Snippets, SSB_VAE,0.7,0.001,1.0,0.003906,0.4275525
Snippets, SSB_VAE,0.7,0.001,1.0,0.015625,0.427579
Snippets, SSB_VAE,0.7,0.001,10000.0,0.000244,0.5636295
Snippets, SSB_VAE,0.7,0.001,10000.0,0.003906,0.4989675
Snippets, SSB_VAE,0.7,0.001,10000.0,0.015625,0.537989
Snippets, SSB_VAE,0.7,0.001,10000000.0,0.000244,0.501746
Snippets, SSB_VAE,0.7,0.001,10000000.0,0.003906,0.5311995
Snippets, SSB_VAE,0.7,0.001,10000000.0,0.015625,0.5184605
Snippets, SSB_VAE,0.7,10.0,1.0,0.000244,0.16011150000000002
Snippets, SSB_VAE,0.7,10.0,1.0,0.003906,0.1527015
Snippets, SSB_VAE,0.7,10.0,1.0,0.015625,0.16322799999999998
Snippets, SSB_VAE,0.7,10.0,10000.0,0.000244,0.420397
Snippets, SSB_VAE,0.7,10.0,10000.0,0.003906,0.3810965
Snippets, SSB_VAE,0.7,10.0,10000.0,0.015625,0.407329
Snippets, SSB_VAE,0.7,10.0,10000000.0,0.000244,0.4881445
Snippets, SSB_VAE,0.7,10.0,10000000.0,0.003906,0.5716334999999999
Snippets, SSB_VAE,0.7,10.0,10000000.0,0.015625,0.5036120000000001
Snippets, SSB_VAE,0.7,10000.0,1.0,0.000244,0.15257900000000002
Snippets, SSB_VAE,0.7,10000.0,1.0,0.003906,0.1625945
Snippets, SSB_VAE,0.7,10000.0,1.0,0.015625,0.15702850000000002
Snippets, SSB_VAE,0.7,10000.0,10000.0,0.000244,0.161129
Snippets, SSB_VAE,0.7,10000.0,10000.0,0.003906,0.15336149999999998
Snippets, SSB_VAE,0.7,10000.0,10000.0,0.015625,0.151706
Snippets, SSB_VAE,0.7,10000.0,10000000.0,0.000244,0.409921
Snippets, SSB_VAE,0.7,10000.0,10000000.0,0.003906,0.415737
